country_code,Name,nd_gain_score,co2_emissions_per_capita,coal_electricity_pct,ghg_emissions_per_capita,renewable_electricity_pct,renewable_final_energy_pct,building_energy_codes,carbon_tax_electricity,carbon_tax_industry,carbon_tax_transport,climate_governance,coal_phaseout,congestion_charge,energy_efficiency_mandate,ets_electricity,ets_industry,feed_in_tariff_solar,fossil_extraction_ban,fossil_fuel_subsidy_reform,fossil_heating_phaseout,ice_vehicle_phaseout,ndc,net_zero_target,rdd_renewables,renewables_expansion,log_gdp_pc,log_energy_pc,policy_score_norm
ARG,Argentina,47.618759749546136,4.0986548934781,1.7028967382810525,8.24967695629134,0.0,9.566666666666666,4.523809523809524,0.0,0.9047619047619048,0.5714285714285714,0.0,0.0,0.0,1.3636363636363635,0.0,0.0,2.238095238095238,0.0,3.1818181818181817,0.0,0.0,7.5,0.4047619047619047,,0.3636363636363636,9.411867710434551,7.48155160052989,
AUS,Australia,67.37252114456409,17.97696055003441,70.5286948390739,26.817305282464048,5.240703750233739,8.442857142857143,8.095238095238095,0.0,0.0,0.0,3.180952342857143,0.0,0.0,3.636363636363636,0.8095238095238095,0.8095238095238095,4.857142857142857,0.0,8.545454545454545,0.0,0.0,7.5,0.0,6.523809523809524,6.454545454545454,10.88938600163763,8.617652933958935,
AUT,Austria,68.45855514151405,8.505799631732291,9.53557769285774,10.34800362712149,10.42958222977508,30.38571428571429,6.666666666666667,0.0,0.0,0.0,0.0,1.2261904761904765,0.0,4.818181818181818,4.5476190476190474,4.571428571428571,3.5714285714285716,0.0,10.0,0.2976190476190476,0.0,7.5,0.7142857142857143,7.809523809523809,4.181818181818182,10.663638032350386,8.259292140919133,
BEL,Belgium,61.51305922693239,10.12933625252831,8.399609917828542,12.432693295326064,9.777993173762647,5.9904761904761905,6.190476190476191,0.0,0.0,0.0,0.0,1.6071428571428572,0.0,7.272727272727272,4.5476190476190474,4.571428571428571,0.0,0.0,10.0,0.0714285714285714,0.0,6.0,0.0,5.142857142857143,2.1818181818181817,10.587278056775714,8.546716551113583,
BRA,Brazil,50.15243736901729,2.2259120762496405,3.0489021824834377,5.623330337422632,8.258790151867569,45.304761904761904,,,,,,,,,,,,,,,,,,,,9.01202101390085,7.17806201265753,
CAN,Canada,68.37694116289815,16.81954674189451,13.0526103160539,22.3261045505886,3.777552625317457,21.604761904761904,4.761904761904762,2.1904761904761907,1.7142857142857142,1.8571428571428572,0.5142857000000001,1.0952380952380951,0.0,3.0,4.380952380952381,4.380952380952381,2.6666666666666665,0.0,5.818181818181818,0.0,0.1071428571428571,7.5,1.0595238095238095,7.142857142857143,7.727272727272728,10.640345212325057,8.986514954360175,
CHE,Switzerland,70.30971738169555,5.539392714555713,0.0,6.6797729791431095,3.0129740837833148,21.066666666666663,4.0476190476190474,0.0,0.0,0.0,4.0,4.964285714285714,0.0,3.363636363636364,3.547619047619047,3.547619047619047,5.333333333333333,0.0,10.0,0.0,0.0,6.4999998,0.6428571428571429,9.428571428571429,0.5454545454545454,11.296566776757807,8.083034288604528,
CHL,Chile,58.06080249894378,4.185211975871826,26.586771448022287,6.018445414372782,9.293068203530511,29.152380952380955,2.0238095238095237,2.0,1.3333333333333333,0.0,0.2857142857142857,0.6428571428571429,0.0,2.727272727272727,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6.9999998,1.0595238095238095,3.4285714285714284,5.363636363636363,9.35497960526302,7.5343255385129515,
CHN,China,53.60049888972633,6.241922461390314,74.68030421000174,7.670968514070632,3.034805329924895,16.4,5.476190476190476,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,8.0,1.8571428571428572,1.8571428571428572,2.238095238095238,0.0,6.909090909090909,0.0,0.0,5.6666665,0.2738095238095238,,0.9090909090909092,8.6957119059021,7.474891210507889,
COL,Colombia,45.51076942425287,1.6032450267004723,6.475332590240211,3.8640297908718058,0.7098129503021041,30.357142857142858,2.142857142857143,1.2857142857142858,0.9523809523809524,0.5714285714285714,0.6666666666666666,0.0,0.0,3.1818181818181817,0.0,0.0,0.0,0.0,3.8181818181818183,0.0,0.0,4.5,0.8452380952380952,,5.090909090909091,8.57074547580051,6.627083754312528,
