country_code,Name,year,nd_gain_score,co2_emissions_per_capita,coal_electricity_pct,ghg_emissions_per_capita,renewable_electricity_pct,renewable_final_energy_pct,building_energy_codes,carbon_tax_electricity,carbon_tax_industry,carbon_tax_transport,climate_governance,coal_phaseout,congestion_charge,energy_efficiency_mandate,ets_electricity,ets_industry,feed_in_tariff_solar,fossil_extraction_ban,fossil_fuel_subsidy_reform,fossil_heating_phaseout,ice_vehicle_phaseout,ndc,net_zero_target,rdd_renewables,renewables_expansion,log_gdp_pc,log_energy_pc
ARG,Argentina,2000,-1.3307459754550626,-1.0428209686873084,-1.1790627647877914,-0.39773303424204404,-1.5284743429787893,-0.4824579728273663,-1.132820109994337,-0.31868564215350637,-0.2929304033857258,-0.5033740092586794,-0.38079327208712127,-0.4640980514343368,-0.2611164055357119,-0.7871988627262974,-0.9746230407285893,-0.9802977373487998,-0.7473668006398786,-0.06379009321094964,-0.9037525453476021,-0.2334248901073459,-0.22609336757768847,-0.5247597904995895,-0.3282439722903227,-1.0739737351119736,-0.8022263902469912,-0.7209556156691913,-0.9133782292125431
ARG,Argentina,2001,-1.466274865229262,-1.1091123299629404,-1.2770902914579942,-0.4352907040418083,-1.5284743429787893,-0.3213976293635891,-1.132820109994337,-0.31868564215350637,-0.2929304033857258,-0.5033740092586794,-0.38079327208712127,-0.4640980514343368,-0.2611164055357119,-0.7871988627262974,-0.9746230407285893,-0.9802977373487998,-0.7473668006398786,-0.06379009321094964,-0.9037525453476021,-0.2334248901073459,-0.22609336757768847,-0.5247597904995895,-0.3282439722903227,-1.0739737351119736,-0.8022263902469912,-0.7732604532856197,-1.017767370158782
ARG,Argentina,2002,-1.5611489501755202,-1.1942569966229175,-1.353831448135862,-0.46003285698365787,-1.5284743429787893,-0.31241571798947654,0.36599164939143364,-0.31868564215350637,-0.2929304033857258,-0.5033740092586794,-0.38079327208712127,-0.4640980514343368,-0.2611164055357119,-0.7871988627262974,-0.9746230407285893,-0.9802977373487998,-0.7473668006398786,-0.06379009321094964,-0.9037525453476021,-0.2334248901073459,-0.22609336757768847,-0.5247597904995895,-0.3282439722903227,-1.0739737351119736,-0.8022263902469912,-0.8880599072974252,-1.0476133656019357
ARG,Argentina,2003,-1.5074487256686522,-1.0989044855742385,-1.3636526985400512,-0.3501318612721371,-1.5284743429787893,-0.38572899382272297,0.36599164939143364,-0.31868564215350637,-0.2929304033857258,-0.5033740092586794,-0.38079327208712127,-0.4640980514343368,-0.2611164055357119,-0.7871988627262974,-0.9746230407285893,-0.9802977373487998,-0.7473668006398786,-0.06379009321094964,-0.9037525453476021,-0.2334248901073459,-0.22609336757768847,-0.5247597904995895,-0.3282439722903227,-1.0739737351119736,-0.8022263902469912,-0.820805063221307,-0.9567187746060218
ARG,Argentina,2004,-1.5150035852959278,-0.9795293559445385,-1.2222593147115999,-0.2613819090685947,-1.5284743429787893,-0.5331996465452288,0.36599164939143364,-0.31868564215350637,-0.2929304033857258,-0.5033740092586794,-0.38079327208712127,-0.4640980514343368,-0.2611164055357119,-0.7871988627262974,-0.9746230407285893,-0.9802977373487998,-0.7473668006398786,-0.06379009321094964,-0.9037525453476021,-0.2334248901073459,-0.22609336757768847,-0.5247597904995895,-0.3282439722903227,-1.0739737351119736,-0.8022263902469912,-0.7503924357703016,-0.8358426729889793
ARG,Argentina,2005,-1.3819654668832,-0.9583463105152297,-1.153897397875582,-0.2537879219290475,-1.5284743429787893,-0.5025523762547226,0.36599164939143364,-0.31868564215350637,-0.2929304033857258,-0.5033740092586794,-0.38079327208712127,-0.4640980514343368,-0.2611164055357119,-0.7871988627262974,-0.9746230407285893,-0.9802977373487998,-0.7473668006398786,-0.06379009321094964,-0.9037525453476021,-0.2334248901073459,-0.22609336757768847,-0.5247597904995895,-0.3282439722903227,-1.0739737351119736,-0.8022263902469912,-0.6802371639776374,-0.8581189992586068
ARG,Argentina,2006,-1.4941408037192987,-0.895725417955041,-1.1690950609164086,-0.20050848286275133,-1.5284743429787893,-0.5435546979986938,0.36599164939143364,-0.31868564215350637,-0.2929304033857258,-0.5033740092586794,-0.38079327208712127,-0.4640980514343368,-0.2611164055357119,-0.7871988627262974,-0.9746230407285893,-0.9802977373487998,-0.7473668006398786,-0.06379009321094964,-0.9037525453476021,-0.2334248901073459,-0.22609336757768847,-0.5247597904995895,-0.3282439722903227,-1.0739737351119736,-0.8022263902469912,-0.6158963373607024,-0.8026434772359813
ARG,Argentina,2007,-1.4391154918866977,-0.8225974353386236,-1.1507824782505007,-0.15726715063218544,-1.5284743429787893,-0.7082149238727642,0.36599164939143364,-0.31868564215350637,-0.2929304033857258,-0.5033740092586794,-0.38079327208712127,-0.4640980514343368,-0.2611164055357119,-0.7871988627262974,-0.9746230407285893,-0.9802977373487998,1.2620153077300236,-0.06379009321094964,-0.9037525453476021,-0.2334248901073459,-0.22609336757768847,-0.5247597904995895,-0.3282439722903227,-1.0739737351119736,-0.8022263902469912,-0.5413456468191131,-0.7560270786409968
ARG,Argentina,2008,-1.4776595438203899,-0.7877944052718314,-1.1020913667053764,-0.1621718800043437,-1.5284743429787893,-0.7082149238727642,0.36599164939143364,-0.31868564215350637,-0.2929304033857258,-0.5033740092586794,-0.38079327208712127,-0.4640980514343368,-0.2611164055357119,-0.7871988627262974,-0.9746230407285893,-0.9802977373487998,1.2620153077300236,-0.06379009321094964,-0.9037525453476021,-0.2334248901073459,-0.22609336757768847,-0.5247597904995895,-0.3282439722903227,-1.0739737351119736,-0.8022263902469912,-0.512000764507145,-0.7239789312988533
ARG,Argentina,2009,-1.491649807543696,-0.9186786392987762,-1.1489970898190636,-0.30549493285788015,-1.5284743429787893,-0.6072319158162292,0.36599164939143364,-0.31868564215350637,-0.2929304033857258,-0.5033740092586794,-0.38079327208712127,-0.4640980514343368,-0.2611164055357119,-0.7871988627262974,-0.9746230407285893,-0.9802977373487998,1.2620153077300236,-0.06379009321094964,-0.9037525453476021,-0.2334248901073459,-0.22609336757768847,-0.5247597904995895,-0.3282439722903227,-1.0739737351119736,-0.8022263902469912,-0.5825098537963189,-0.8500199831141327
