country_code,Name,nd_gain_score,co2_emissions_per_capita,coal_electricity_pct,ghg_emissions_per_capita,renewable_electricity_pct,renewable_final_energy_pct,building_energy_codes,carbon_tax_electricity,carbon_tax_industry,carbon_tax_transport,climate_governance,coal_phaseout,congestion_charge,energy_efficiency_mandate,ets_electricity,ets_industry,feed_in_tariff_solar,fossil_extraction_ban,fossil_fuel_subsidy_reform,fossil_heating_phaseout,ice_vehicle_phaseout,ndc,net_zero_target,rdd_renewables,renewables_expansion,log_gdp_pc,log_energy_pc
ARG,Argentina,-1.3636596103258833,-0.8132829991255269,-1.176275940164132,-0.28409188734900054,-1.928955541923917,-0.5273555368412736,-0.17467312160349363,-0.5058100792234641,1.9613951899165765,0.6282749575518309,-0.7955698784699593,-1.1555485686026719,-0.31617521812450383,-1.3071642400802403,-1.4284309202089396,-1.4412807572407078,0.2544775320827311,-0.21821789023558477,-1.7973117379762702,-0.6071047276872574,-0.6389861698489856,0.49569669339330413,-0.347102137879621,,-1.6970861656248906,-0.5973959544904768,-0.7354941440127265
AUS,Australia,0.8516527363570239,1.7907347669595448,1.3648599328473914,2.158134285634839,-0.14070883277044882,-0.6445752236712957,1.0816766126773654,-0.5058100792234641,-0.5054558874745273,-0.7243633339828708,1.721574814069156,-1.1555485686026719,-0.31617521812450383,-0.13894637572452045,-1.0897023927972684,-1.1069614130418512,1.4208392288906202,-0.21821789023558477,0.30901686252608357,-0.6071047276872574,-0.6389861698489856,0.49569669339330413,-1.3371229271128162,0.2235594644147168,1.0376940394347938,1.1041764450053364,0.8963101713089711
AUT,Austria,1.0071303624318686,0.24726399161172746,-0.40397649358356513,0.108198476247377,0.5857658773497453,0.837427840718542,0.5827070567213649,-0.5058100792234641,-0.5054558874745273,-0.7243633339828708,-0.7955698784699593,0.8893119054005761,-0.31617521812450383,0.390223016989677,0.7874861039775296,0.7995389604423437,0.8941666266931054,-0.21821789023558477,1.2071657594320198,1.7444454287509505,-0.6389861698489856,0.49569669339330413,0.20382985369460466,0.8434970881744971,0.08109534515740212,0.7956353693773007,0.32224897924549983
BEL,Belgium,0.07568662174806964,0.5616939433943486,-0.4812154283503001,0.45121298906153284,0.5119263883709316,-0.939307655335605,0.4154110575254383,-0.5058100792234641,-0.5054558874745273,-0.7243633339828708,-0.7955698784699593,1.128122331728814,-0.31617521812450383,1.3884599632971828,0.7874861039775296,0.7995389604423437,-1.2989187580838775,-0.21821789023558477,1.2071657594320198,0.4804889125059413,-0.6389861698489856,-0.8381948382832214,-1.3371229271128162,-0.4540332043205057,-0.8112270489291419,0.6955424078470585,0.7780537351008844
BRA,Brazil,-1.141104259563026,-1.4364587081459366,-0.9780654137345177,-0.8733507229084302,0.3242401114167391,1.4435193837240552,,,,,,,,,,,,,,,,,,,,-0.9423596905759574,-1.0843615889536362
CAN,Canada,0.9953175619339882,1.6313755196551316,-0.19707435463464398,1.7089550123830355,-0.4380971966019197,0.3781538018551777,-0.08989593203782417,2.053451570152387,2.0861027482606542,1.3840720321956392,0.7278262107536174,0.7867464748430145,-0.31617521812450383,-0.44206900897137397,0.6964245464560587,0.6935113738571027,0.4734406921571207,-0.21821789023558477,-0.9934351886100071,-0.6071047276872574,0.6278875973654557,0.49569669339330413,0.6932715538649113,0.5232395498131334,1.554850758933221,0.7648777527565371,1.5495853155055297
CHE,Switzerland,1.2807326833037864,-0.4218696138850985,-1.5747567850061204,-0.6198261961354912,-0.6249568318461171,0.34618623153351136,-0.34477152622515544,-0.5058100792234641,-0.5054558874745273,-0.7243633339828708,1.765003818877643,1.900694825155707,-0.31617521812450383,-0.26707599011479527,0.2496276954242033,0.23953100067047955,1.5998021538895137,-0.21821789023558477,1.2071657594320198,-0.6071047276872574,-0.6389861698489856,-0.45575861184589916,0.08783109147997505,1.6117994338509434,-1.6032185472608431,1.7105973429603432,0.06069223172227577
CHL,Chile,-0.33316441004704334,-0.7880523057014822,0.3615855482294618,-0.7754831035393683,0.45453701294321197,0.7788739004700153,-1.077657330861169,2.0464363527924507,2.0544821802004996,-0.7243633339828708,0.27516729656649735,0.30375559995141405,-0.31617521812450383,-0.5767440993089833,-1.4284309202089396,-1.4412807572407078,-1.2989187580838775,-0.21821789023558477,1.2071657594320198,-0.6071047276872574,-0.6389861698489856,-0.012760770424418526,0.6932715538649113,-1.3167817952121805,0.5845386056295746,-0.6491643894195677,-0.6713381538778541
CHN,China,-0.8103429983658913,-0.24942513723406284,1.433518659120893,-0.40293192048914156,-0.6192280007620197,0.0429910504634934,0.16343875037353267,-0.5058100792234641,-0.5054558874745273,-0.7243633339828708,1.3952907125886571,-1.1555485686026719,-0.31617521812450383,1.6646279135074324,-0.6053821031787044,-0.6233279368948809,0.2544775320827311,-0.21821789023558477,-0.5312605190659657,-0.6071047276872574,-0.6389861698489856,-1.0618959532180827,-0.6256047157201158,,-1.4198975937397325,-1.185499491387019,-0.7435160746193702
COL,Colombia,-1.5359525862523296,-1.6904027085535835,-0.628703422938735,-1.3659316183841688,-1.4622581301999364,0.8360897738434204,-1.0340002591245918,1.9832962157923708,1.9775697197862756,0.6282749575518309,0.9304713002103712,-1.1555485686026719,-0.31617521812450383,-0.353951021068315,-1.4284309202089396,-1.4412807572407078,-1.2989187580838775,-0.21821789023558477,-1.6428890876375057,-0.6071047276872574,-0.6389861698489856,-1.670091859322643,0.4022541544122954,,0.46961250183825076,-1.2747600019311875,-1.6354325954367215
