Country Climate Trajectories (cluster sequence per year)

Country                   Sequence
New Zealand               0 → 2 → 2 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 1 → 3 → 3 → 3 ★
Peru                      4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 1 ★
Philippines               4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4
Poland                    0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0
Portugal                  0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 1 → 1 → 1 → 1 ★
Russian Federation        2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 0 → 2 → 2 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 ★
Saudi Arabia              2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2
Singapore                 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2
Slovakia                  2 → 2 → 2 → 2 → 2 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 1 → 1 ★
Slovenia                  0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 5 → 5 ★
Sweden                    0 → 0 → 0 → 0 → 0 → 0 → 5 → 5 → 5 → 5 → 5 → 5 → 5 → 5 → 5 → 5 → 5 → 1 → 1 → 1 → 1 ★
Turkey                    4 → 4 → 4 → 4 → 4 → 4 → 4 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 ★
United States             2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2 → 2
Viet Nam                  4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4 → 4
South Africa              0 → 0 → 0 → 0 → 2 → 2 → 2 → 2 → 2 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 0 → 5 ★

★ = country changed cluster at least once
