Country_code_A3,Year,LEV2_CROSS_SEC_CG,LEV3_BAN_PHOUT_COAL,LEV3_CARBONTAX_I,LEV3_NZ,LEV4_BAN_COAL_STAT,LEV4_BAN_EXTRAC_DATE,LEV4_CARBONTAX_T,LEV4_EE_MANDATE,LEV4_ETS_E_GHG,LEV4_FIT_SOL_PR,LEV4_NZ_DATE,LEV4_RENEWABLE_EXP
FRA,2023,7.8000002,5.25,0.0,8.75,5.0,5.0,8.0,8.0,8.0,10.0,5.0,7.0
GBR,2015,9.3999996,1.5,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5.0,0.0,9.0
GBR,2016,9.0,1.5,0.0,5.75,0.0,0.0,0.0,8.0,8.0,2.0,1.0,9.0
GBR,2017,9.1999998,5.25,0.0,5.75,5.0,0.0,0.0,8.0,8.0,1.0,1.0,9.0
GBR,2018,9.8000002,5.25,0.0,8.0,5.0,0.0,0.0,8.0,8.0,1.0,5.0,9.0
GBR,2019,9.3999996,5.25,0.0,8.75,5.0,0.0,0.0,8.0,8.0,1.0,5.0,9.0
GBR,2020,9.8000002,5.5,0.0,8.75,5.0,0.0,0.0,8.0,8.0,0.0,5.0,9.0
GBR,2021,9.3999996,5.5,0.0,8.75,5.0,0.0,0.0,8.0,8.0,0.0,5.0,9.0
GBR,2022,9.3999996,5.5,0.0,8.75,5.0,0.0,0.0,8.0,8.0,0.0,5.0,9.0
GBR,2023,9.3999996,5.5,0.0,8.75,5.0,0.0,0.0,8.0,8.0,0.0,5.0,9.0
IDN,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,2.0
IDN,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,2.0
IDN,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,2.0
IDN,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,2.0
IDN,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,2.0
IDN,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0
IDN,2021,0.0,1.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0
IDN,2022,0.0,1.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0
IDN,2023,0.0,1.0,0.0,7.0,0.0,0.0,0.0,6.0,9.0,0.0,3.0,1.0
IND,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,4.0
IND,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,4.0
IND,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0
IND,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0
IND,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0
IND,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,4.0
IND,2021,0.0,0.0,0.0,2.5,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0
IND,2022,0.0,0.0,0.0,3.25,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0
IND,2023,0.0,0.0,0.0,3.25,0.0,0.0,0.0,8.0,0.0,5.0,1.0,9.0
ITA,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,0.0,7.0
ITA,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,10.0,0.0,7.0
