country_code,year,coal_electricity_pct,energy_use_per_capita,gdp_constant_usd,gdp_per_capita_constant,renewable_electricity_pct,renewable_final_energy_pct
ARG,2015,2.0131044297923,1919.75859208058,594749285413.212,13679.6264980954,-3.80281477101625,9.4
ARG,2016,1.60915636462437,1889.87018853289,582376550428.09,13265.8860639123,-2.9382760494498,9.4
ARG,2017,1.545549421878,1874.82963739464,598790850843.677,13520.1129846159,-3.09416110516053,10.4
ARG,2018,1.56130790190736,1806.77623499039,583118120294.002,13058.3285449954,-2.69236376021798,10.5
ARG,2019,0.920783920318154,1777.41507710553,571450737224.442,12706.3978108968,1.5032854430153,10.7
ARG,2020,1.2996947212506,1623.92450833523,514874343768.066,11393.0505957877,6.17318136617456,9.8
ARG,2021,1.81813433956352,1741.51377200597,568636554720.066,12549.2811699342,9.06192102050542,9.2
ARG,2022,1.82223900580178,1808.76021335553,602872713790.916,13276.8232110189,,
ARG,2023,1.41051696523506,1832.06690004241,591684674129.454,12993.0928872416,,
ARG,2024,,,583738758865.705,12774.3506596628,,
AUS,2015,63.1332652712618,5318.66679266228,1356805839935.9,56970.3613028094,7.98431659191756,9.4
AUS,2016,63.6138825930166,5216.98867184459,1394194533274.64,57632.9995925594,8.61820532591848,9.6
AUS,2017,62.722407171287,5162.45894302308,1426167740135.16,57991.771347333,9.36755170930399,9.9
AUS,2018,60.4123253248345,5086.37378454852,1467158231105.1,58772.7063152213,10.9604835744055,9.8
AUS,2019,58.4427291251619,5231.57466031316,1499347932643.95,59181.2997904131,13.656230825752,10.3
AUS,2020,54.8771014186697,5159.03638381788,1497345824797.34,58377.7670517802,16.8875246061136,11.2
AUS,2021,52.8370877486312,5006.44306522882,1527396783519.68,59465.535671364,20.937361139354,12.3
AUS,2022,49.199170628768,4942.16372202842,1592357665099.43,61200.4588964781,,
AUS,2023,46.5005792898417,4927.64894813822,1649424913623.6,61869.082498576,,
AUS,2024,,,1672078242948.22,61480.670710531,,
BRA,2015,4.58447641180492,1482.02057858653,1802211999456.42,8936.1955889444,12.2029459455312,43.7
BRA,2016,4.32743314373327,1414.8979311951,1743173031878.48,8577.84277969667,14.5316279595064,45.4
BRA,2017,3.76477146416734,1431.95949698072,1766232928473.27,8628.25209645723,16.1410907796512,45.3
BRA,2018,3.36411381366693,1403.40232453429,1797736638146.82,8722.33529970988,17.5136091224846,46.9
BRA,2019,3.36618054063618,1415.83477031974,1819683008336.22,8771.43950372603,18.5776469435984,47.5
BRA,2020,2.7894408712967,1379.24649914162,1760056385298.89,8435.01046209185,20.1348423255784,50.0
BRA,2021,3.66646395644626,1430.3934661032,1843880907790.44,8799.22844579944,22.0769155734794,46.5
BRA,2022,2.10121189126786,1432.72741132919,1899505159031.73,9032.08377657776,,
BRA,2023,1.98997733169775,1481.22439922518,1961080569227.7,9288.02594608687,,
BRA,2024,,,2028136094548.34,9566.74408628371,,
CAN,2015,9.42555098197063,7690.40816617685,1556508816217.14,43594.1941045394,6.0617768124307,22.3
CAN,2016,9.3469025245368,7944.50789345873,1572673952924.25,43551.3425975115,7.04207360965633,22.1
CAN,2017,9.06323181480269,8175.19037647623,1620386284360.03,44339.3886689254,7.05301713153478,22.8
CAN,2018,7.66934523132024,8161.77967501099,1664832887873.71,44907.3436912123,7.37402019926093,22.3
CAN,2019,7.33595880964786,8125.58121311618,1696605090551.84,45100.2915069262,7.36629991725152,22.4
CAN,2020,5.93046031047298,7495.07932297849,1611126165625.03,42366.1285377884,7.75691631401914,23.9
CAN,2021,5.32187223366307,7524.86361233157,1706996679677.69,44639.193269037,7.92363867255995,23.8
CAN,2022,3.98601228707913,7578.02093601237,1778503389905.0,45677.686578804,,
CAN,2023,3.72005143743622,7336.06703531427,1805692180594.62,45048.2842408265,,
CAN,2024,,,1833766996134.79,44413.3983847404,,
CHN,2015,70.188402071321,2175.1544486832,11280814787468.9,8175.33285077393,4.55807103746262,12.2
CHN,2016,68.4176909138594,2149.2047500244,12045152668727.3,8679.37704460133,5.9539883138882,12.6
CHN,2017,68.0264961455224,2215.91139022057,12875216222853.4,9221.51403820573,7.19946452516446,13.1
CHN,2018,66.5294477283065,2310.87757050979,13745158275136.7,9798.6528523316,8.56768880402383,13.5
CHN,2019,64.9686795132476,2397.96868908473,14579283528148.4,10356.4804194995,9.50765506036168,14.3
CHN,2020,63.4550187592194,2465.96954605987,14920466234565.3,10573.6420059282,10.6602772642896,14.9
CHN,2021,63.0009520818053,2623.79959356116,16199162892908.6,11469.5707134928,12.856523818733,15.2
CHN,2022,61.7186608827991,2676.48200976111,16706875253648.5,11830.5983703496,,
CHN,2023,61.3408061134072,2850.94152906511,17611526369126.6,12484.1578844175,,
CHN,2024,,,18488114837769.3,13121.6769905565,,
