country_code,Name,year,nd_gain_score
ITA,Italy,2023,59.7736980909756
JPN,Japan,2023,65.8050728143673
KOR,"Korea, Republic of",2023,68.5056828854251
MEX,Mexico,2023,48.7384836133905
RUS,Russian Federation,2023,58.384897958142
SAU,Saudi Arabia,2023,58.2281367154928
ZAF,South Africa,2023,48.108901390221
TUR,Turkey,2023,55.2981786793522
GBR,United Kingdom,2023,69.6633498227979
USA,United States,2023,66.7646656881949
